STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00410433,"AUSTIN GREAT HILLS, TX US",11/26/16,0,63,52
USC00410433,"AUSTIN GREAT HILLS, TX US",11/27/16,0,67,53
USC00410433,"AUSTIN GREAT HILLS, TX US",11/28/16,0,69,56
USC00410433,"AUSTIN GREAT HILLS, TX US",11/29/16,0,76,47
USC00410433,"AUSTIN GREAT HILLS, TX US",11/30/16,0,75,48
USC00410433,"AUSTIN GREAT HILLS, TX US",12/1/16,0,63,35
USC00410433,"AUSTIN GREAT HILLS, TX US",12/2/16,0,66,35
USC00410433,"AUSTIN GREAT HILLS, TX US",12/3/16,0.5,63,47
USC00410433,"AUSTIN GREAT HILLS, TX US",12/4/16,0.88,49,47
USC00410433,"AUSTIN GREAT HILLS, TX US",12/5/16,0.44,49,46
USC00410433,"AUSTIN GREAT HILLS, TX US",12/6/16,0.46,50,46
USC00410433,"AUSTIN GREAT HILLS, TX US",12/7/16,0,54,38
USC00410433,"AUSTIN GREAT HILLS, TX US",12/8/16,0,54,39
USC00410433,"AUSTIN GREAT HILLS, TX US",12/9/16,0,40,30
USC00410433,"AUSTIN GREAT HILLS, TX US",12/10/16,0,44,30
USC00410433,"AUSTIN GREAT HILLS, TX US",12/11/16,0.01,52,38
USC00410433,"AUSTIN GREAT HILLS, TX US",12/12/16,0,66,43
USC00410433,"AUSTIN GREAT HILLS, TX US",12/13/16,0,64,43
USC00410433,"AUSTIN GREAT HILLS, TX US",12/14/16,0,73,40
USC00410433,"AUSTIN GREAT HILLS, TX US",12/15/16,0,54,40
USC00410433,"AUSTIN GREAT HILLS, TX US",12/16/16,0,50,43
USC00410433,"AUSTIN GREAT HILLS, TX US",12/17/16,0,65,49
USC00410433,"AUSTIN GREAT HILLS, TX US",12/18/16,0,74,23
USC00410433,"AUSTIN GREAT HILLS, TX US",12/19/16,0,34,20
USC00410433,"AUSTIN GREAT HILLS, TX US",12/20/16,0,42,20
USC00410433,"AUSTIN GREAT HILLS, TX US",12/21/16,0,57,33
USC00410433,"AUSTIN GREAT HILLS, TX US",12/22/16,0,68,44
USC00410433,"AUSTIN GREAT HILLS, TX US",12/23/16,0.01,64,47
USC00410433,"AUSTIN GREAT HILLS, TX US",12/24/16,0.06,66,50
USC00410433,"AUSTIN GREAT HILLS, TX US",12/25/16,0,75,66
USC00410433,"AUSTIN GREAT HILLS, TX US",12/26/16,0,77,66
USC00410433,"AUSTIN GREAT HILLS, TX US",12/27/16,0,81,62
USC00410433,"AUSTIN GREAT HILLS, TX US",12/28/16,0,72,58
USC00410433,"AUSTIN GREAT HILLS, TX US",12/29/16,0,79,54
USC00410433,"AUSTIN GREAT HILLS, TX US",12/30/16,0,59,45
USC00410433,"AUSTIN GREAT HILLS, TX US",12/31/16,0,54,45
USC00410433,"AUSTIN GREAT HILLS, TX US",1/1/17,0,74,49
USC00410433,"AUSTIN GREAT HILLS, TX US",1/2/17,0.26,72,49
USC00410433,"AUSTIN GREAT HILLS, TX US",1/3/17,0,71,43
USC00410433,"AUSTIN GREAT HILLS, TX US",1/4/17,0,73,35
USC00410433,"AUSTIN GREAT HILLS, TX US",1/5/17,0,46,36
USC00410433,"AUSTIN GREAT HILLS, TX US",1/6/17,0,62,26
USC00410433,"AUSTIN GREAT HILLS, TX US",1/7/17,0,32,16
USC00410433,"AUSTIN GREAT HILLS, TX US",1/8/17,0,41,16
USC00410433,"AUSTIN GREAT HILLS, TX US",1/9/17,0,50,18
USC00410433,"AUSTIN GREAT HILLS, TX US",1/10/17,0,68,42
USC00410433,"AUSTIN GREAT HILLS, TX US",1/11/17,0,76,57
USC00410433,"AUSTIN GREAT HILLS, TX US",1/12/17,0,77,61
USC00410433,"AUSTIN GREAT HILLS, TX US",1/13/17,0.06,77,65
USC00410433,"AUSTIN GREAT HILLS, TX US",1/14/17,0.61,74,46
USC00410433,"AUSTIN GREAT HILLS, TX US",1/15/17,0,52,46
USC00410433,"AUSTIN GREAT HILLS, TX US",1/16/17,0.7,68,51
USC00410433,"AUSTIN GREAT HILLS, TX US",1/17/17,0.01,66,52
USC00410433,"AUSTIN GREAT HILLS, TX US",1/18/17,1.72,57,45
USC00410433,"AUSTIN GREAT HILLS, TX US",1/19/17,1.03,54,46
USC00410433,"AUSTIN GREAT HILLS, TX US",1/20/17,0,68,47
USC00410433,"AUSTIN GREAT HILLS, TX US",1/21/17,0,75,46
USC00410433,"AUSTIN GREAT HILLS, TX US",1/22/17,0.04,78,55
USC00410433,"AUSTIN GREAT HILLS, TX US",1/23/17,0,66,42
USC00410433,"AUSTIN GREAT HILLS, TX US",1/24/17,0,73,42
USC00410433,"AUSTIN GREAT HILLS, TX US",1/25/17,0,80,51
USC00410433,"AUSTIN GREAT HILLS, TX US",1/26/17,0,66,33
USC00410433,"AUSTIN GREAT HILLS, TX US",1/27/17,0,56,37
USC00410433,"AUSTIN GREAT HILLS, TX US",1/28/17,0.01,55,37
USC00410433,"AUSTIN GREAT HILLS, TX US",1/29/17,0,59,37
USC00410433,"AUSTIN GREAT HILLS, TX US",1/30/17,0,67,38
USC00410433,"AUSTIN GREAT HILLS, TX US",1/31/17,0,76,40
USC00410433,"AUSTIN GREAT HILLS, TX US",2/1/17,0,76,40
USC00410433,"AUSTIN GREAT HILLS, TX US",2/2/17,0,79,47
USC00410433,"AUSTIN GREAT HILLS, TX US",2/3/17,0,60,42
USC00410433,"AUSTIN GREAT HILLS, TX US",2/4/17,0,50,43
USC00410433,"AUSTIN GREAT HILLS, TX US",2/5/17,0.01,54,47
USC00410433,"AUSTIN GREAT HILLS, TX US",2/6/17,0,68,54
USC00410433,"AUSTIN GREAT HILLS, TX US",2/7/17,0,76,61
USC00410433,"AUSTIN GREAT HILLS, TX US",2/8/17,0,82,50
USC00410433,"AUSTIN GREAT HILLS, TX US",2/9/17,0,83,40
USC00410433,"AUSTIN GREAT HILLS, TX US",2/10/17,0,66,41
