Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
6/3/17 0:00,4989,,,,168
6/4/17 0:00,5125,,,,134
6/5/17 0:00,2952,,,,118
6/6/17 0:00,4462,,,,167
6/7/17 0:00,4130,,,,171
6/8/17 0:00,4039,,,,179
6/9/17 0:00,4149,,,,151
6/10/17 0:00,7005,,,,180
6/11/17 0:00,6187,,,,136
6/12/17 0:00,3816,,,,125
6/13/17 0:00,3987,,,,150
6/14/17 0:00,6955,,,,156
6/15/17 0:00,3517,,,,158
6/16/17 0:00,3464,,,,129
6/17/17 0:00,5393,,,,132
6/18/17 0:00,4562,,,,128
6/19/17 0:00,4140,,,,106
6/20/17 0:00,3570,,,,174
6/21/17 0:00,3591,,,,206
6/22/17 0:00,3689,,,,207
6/23/17 0:00,3067,,,,235
6/24/17 0:00,5623,,,,78
6/25/17 0:00,5818,,,,134
6/26/17 0:00,3636,,,,228
6/27/17 0:00,4496,,,,141
6/28/17 0:00,4035,,,,184
6/29/17 0:00,3406,,,,138
6/30/17 0:00,3069,,,,125
7/1/17 0:00,5135,,,,118
7/2/17 0:00,4696,,,,101
7/3/17 0:00,3982,,,,129
7/4/17 0:00,5257,,,,188
7/5/17 0:00,2828,,,,132
7/6/17 0:00,3538,,,,135
7/7/17 0:00,3352,,,,145
7/8/17 0:00,5274,,,,170
7/9/17 0:00,4589,,,,150
7/10/17 0:00,3125,,,,127
7/11/17 0:00,3445,,,,148
7/12/17 0:00,5764,,,,159
7/13/17 0:00,3604,,,,119
7/14/17 0:00,2804,,,,113
7/15/17 0:00,4627,,,,146
7/16/17 0:00,5172,,,,157
7/17/17 0:00,2985,,,,113
7/18/17 0:00,3288,,,,142
7/19/17 0:00,3135,,,,156
7/20/17 0:00,3037,,,,117
7/21/17 0:00,2497,,,,110
7/22/17 0:00,4934,,,,135
7/23/17 0:00,4456,,,,102
7/24/17 0:00,3240,,,,75
7/25/17 0:00,3398,,,,126
7/26/17 0:00,3105,,,,173
7/27/17 0:00,3116,,,,120
7/28/17 0:00,2808,,,,116
7/29/17 0:00,4762,,,,116
7/30/17 0:00,3852,,,,83
7/31/17 0:00,2880,,,,113
8/1/17 0:00,3138,,,,117
8/2/17 0:00,5727,,,,102
8/3/17 0:00,3330,,,,122
8/4/17 0:00,3133,,,,107
8/5/17 0:00,4800,,,,129
8/6/17 0:00,4611,,,,94
8/7/17 0:00,2207,,,,56
8/8/17 0:00,3696,,,,201
8/9/17 0:00,3496,,,,166
8/10/17 0:00,2939,,,,147
8/11/17 0:00,2747,,,,122
8/12/17 0:00,4559,,,,114
8/13/17 0:00,4231,,,,104
8/14/17 0:00,3082,,,,106
8/15/17 0:00,3230,,,,138
8/16/17 0:00,2996,,,,129
8/17/17 0:00,2786,,,,136
8/18/17 0:00,2767,,,,101
8/19/17 0:00,4864,,,,105
8/20/17 0:00,4162,,,,117
8/21/17 0:00,2947,,,,130
8/22/17 0:00,3191,,,,143
8/23/17 0:00,3183,,,,152
8/24/17 0:00,3084,,,,85
8/25/17 0:00,2836,,,,93
8/26/17 0:00,560,,,,7
8/27/17 0:00,801,,,,28
8/28/17 0:00,3095,,,,260
8/29/17 0:00,4363,,,,564
8/30/17 0:00,4317,,,,285
8/31/17 0:00,4067,,,,226
9/1/17 0:00,3621,,,,281
9/2/17 0:00,5389,,,,235
9/3/17 0:00,6008,,,,168
9/4/17 0:00,6550,,,,208
9/5/17 0:00,3435,,,,163
9/6/17 0:00,4955,,,,173
9/7/17 0:00,5268,,,,198
9/8/17 0:00,5344,,,,151
9/9/17 0:00,7388,,,,192
9/10/17 0:00,7112,,,,176
9/11/17 0:00,4920,,,,184
9/12/17 0:00,4657,,,,194
9/13/17 0:00,4146,,,,160
9/14/17 0:00,3565,,,,156
9/15/17 0:00,3887,,,,152
9/16/17 0:00,5564,,,,113
